Year,Winner,Mins,Secs,total,speed
1875,Aristides,2,37.75,157.75,28.52614897
1876,Vagrant,2,38.25,158.25,28.43601896
1877,Baden-Baden,2,38.00,158,28.48101266
1878,Day Star,2,37.25,157.25,28.61685215
1879,Lord Murphy,2,27.00,147,30.6122449
1880,Fonso,2,27.50,147.5,30.50847458
1881,Hindoo,2,40.00,160,28.125
1882,Apollo,2,40.25,160.25,28.08112324
1883,Leonatus,2,43.00,163,27.60736196
1884,Buchanan,2,40.25,160.25,28.08112324
1885,Joe Cotton,2,37.25,157.25,28.61685215
1886,Ben Ali,2,36.50,156.5,28.75399361
1887,Montrose,2,39.25,159.25,28.25745683
1888,Macbeth II,2,38.25,158.25,28.43601896
1889,Spokane,2,34.50,154.5,29.12621359
1890,Riley,2,45.00,165,27.27272727
1891,Kingman,2,52.25,172.25,26.12481858
1892,Azra,2,41.50,161.5,27.86377709
1893,Lookout,2,39.25,159.25,28.25745683
1894,Chant,2,41.00,161,27.95031056
1895,Halma,2,37.50,157.5,28.57142857
1896,Ben Brush,2,7.75,127.75,35.22504892
1897,Typhoon II,2,12.50,132.5,33.96226415
1898,Plaudit,2,9.00,129,34.88372093
1899,Manuel,2,12.00,132,34.09090909
1900,Lt. Gibson,2,6.25,126.25,35.64356436
1901,His Eminence,2,7.75,127.75,35.22504892
1902,Alan-A-Dale,2,8.75,128.75,34.95145631
1903,Judge Himes,2,9.00,129,34.88372093
1904,Elwood,2,8.50,128.5,35.01945525
1905,Agile,2,10.75,130.75,34.416826
1906,Sir Huon,2,8.80,128.8,34.9378882
1907,Pink Star,2,12.60,132.6,33.93665158
1908,Stone Street,2,15.20,135.2,33.28402367
1909,Wintergreen,2,8.20,128.2,35.10140406
1910,Donau,2,6.40,126.4,35.60126582
1911,Meridian,2,5.00,125,36
1912,Worth,2,9.40,129.4,34.77588872
1913,Donerail,2,4.80,124.8,36.05769231
1914,Old Rosebud,2,3.40,123.4,36.46677472
1915,Regret,2,5.40,125.4,35.88516746
1916,George Smith,2,4.00,124,36.29032258
1917,Omar Khayyam,2,4.60,124.6,36.11556982
1918,Exterminator,2,10.80,130.8,34.40366972
1919,Sir Barton,2,9.80,129.8,34.66872111
1920,Paul Jones,2,9.00,129,34.88372093
1921,Behave Yourself,2,4.20,124.2,36.23188406
1922,Morvich,2,4.60,124.6,36.11556982
1923,Zev,2,5.40,125.4,35.88516746
1924,Black Gold,2,5.20,125.2,35.94249201
1925,Flying Ebony,2,7.60,127.6,35.26645768
1926,Bubbling Over,2,3.80,123.8,36.34894992
1927,Whiskery,2,6.00,126,35.71428571
1928,Reigh Count,2,10.40,130.4,34.50920245
1929,Clyde Van Dusen,2,10.80,130.8,34.40366972
1930,Gallant Fox,2,7.60,127.6,35.26645768
1931,Twenty Grand,2,1.80,121.8,36.94581281
1932,Burgoo King,2,5.20,125.2,35.94249201
1933,Brokers Tip,2,6.80,126.8,35.48895899
1934,Cavalcade,2,4.00,124,36.29032258
1935,Omaha,2,5.00,125,36
1936,Bold Venture,2,3.60,123.6,36.40776699
1937,War Admiral,2,3.20,123.2,36.52597403
1938,Lawrin,2,4.80,124.8,36.05769231
1939,Johnstown,2,3.40,123.4,36.46677472
1940,Gallahadion,2,5.00,125,36
1941,Whirlaway,2,1.40,121.4,37.0675453
1942,Shut Out,2,4.40,124.4,36.17363344
1943,Count Fleet,2,4.00,124,36.29032258
1944,Pensive,2,4.20,124.2,36.23188406
1945,"Hoop, Jr.",2,7.00,127,35.43307087
1946,Assault,2,6.60,126.6,35.5450237
1947,Jet Pilot,2,6.80,126.8,35.48895899
1948,Citation,2,5.40,125.4,35.88516746
1949,Ponder,2,4.20,124.2,36.23188406
1950,Middleground,2,1.60,121.6,37.00657895
1951,Count Turf,2,2.60,122.6,36.70473083
1952,Hill Gail,2,1.60,121.6,37.00657895
1953,Dark Star,2,2.00,122,36.8852459
1954,Determine,2,3.00,123,36.58536585
1955,Swaps,2,1.80,121.8,36.94581281
1956,Needles,2,3.40,123.4,36.46677472
1957,Iron Liege,2,2.20,122.2,36.82487725
1958,Tim Tam,2,5.00,125,36
1959,Tomy Lee,2,2.20,122.2,36.82487725
1960,Venetian Way,2,2.40,122.4,36.76470588
1961,Carry Back,2,4.00,124,36.29032258
1962,Decidedly,2,0.40,120.4,37.37541528
1963,Chateaugay,2,1.80,121.8,36.94581281
1964,Northern Dancer,2,0.00,120,37.5
1965,Lucky Debonair,2,1.20,121.2,37.12871287
1966,Kauai King,2,2.00,122,36.8852459
1967,Proud Clarion,2,0.60,120.6,37.31343284
1968,Forward Pass,2,2.20,122.2,36.82487725
1969,Majestic Prince,2,1.80,121.8,36.94581281
1970,Dust Commander,2,3.40,123.4,36.46677472
1971,Canonero II,2,3.20,123.2,36.52597403
1972,Riva Ridge,2,1.80,121.8,36.94581281
1973,Secretariat,1,59.40,119.4,37.68844221
1974,Cannonade,2,4.00,124,36.29032258
1975,Foolish Pleasure,2,2.00,122,36.8852459
1976,Bold Forbes,2,1.60,121.6,37.00657895
1977,Seattle Slew,2,2.20,122.2,36.82487725
1978,Affirmed,2,1.20,121.2,37.12871287
1979,Spectacular Bid,2,2.20,122.2,36.82487725
1980,Genuine Risk,2,2.00,122,36.8852459
1981,Pleasant Colony,2,2.00,122,36.8852459
1982,Gato Del Sol,2,2.40,122.4,36.76470588
1983,Sunny's Halo,2,2.20,122.2,36.82487725
1984,Swale,2,2.40,122.4,36.76470588
1985,Spend a Buck,2,0.20,120.2,37.43760399
1986,Ferdinand,2,2.80,122.8,36.64495114
1987,Alysheba,2,3.40,123.4,36.46677472
1988,Winning Colors,2,2.20,122.2,36.82487725
1989,Sunday Silence,2,5.00,125,36
1990,Unbridled,2,2.00,122,36.8852459
1991,Strike the Gold,2,3.00,123,36.58536585
1992,Lil E. Tee,2,3.00,123,36.58536585
1993,Sea Hero,2,2.40,122.4,36.76470588
1994,Go For Gin,2,3.60,123.6,36.40776699
1995,Thunder Gulch,2,1.20,121.2,37.12871287
1996,Grindstone,2,1.00,121,37.19008264
1997,Silver Charm,2,2.40,122.4,36.76470588
1998,Real Quiet,2,4.20,124.2,36.23188406
1999,Charismatic,2,3.20,123.2,36.52597403
2000,Fusaichi Pegasus,2,1.00,121,37.19008264
2001,Monarchos,1,59.97,119.97,37.50937734
2002,War Emblem,2,1.10,121.1,37.15937242
2003,Funny Cide,2,1.19,121.19,37.13177655
2004,Smarty Jones,2,4.06,124.06,36.27277124
2005,Giacomo,2,2.75,122.75,36.6598778
2006,Barbaro,2,1.36,121.36,37.07976269
2007,Street Sense,2,2.17,122.17,36.83391995
2008,Big Brown,2,1.82,121.82,36.93974717
2009,Mine That Bird,2,2.66,122.66,36.68677646
2010,Super Saver,2,4.04,124.04,36.2786198
2011,Animal Kingdom,2,2.04,122.04,36.87315634
