Rank,Player,Team,Position,Rec,Yds,Avg,YdsG,Long,TD
1,Brandon Lloyd,DEN,WR,77,1448,18.8,90.5,71,11
2,Roddy White,ATL,WR,115,1389,12.1,86.8,46,10
3,Reggie Wayne,IND,WR,111,1355,12.2,84.7,50,6
4,Greg Jennings,GB,WR,76,1265,16.6,79.1,86 T,12
5,Mike Wallace,PIT,WR,60,1257,21,78.6,56 T,10
6,Andre Johnson,HOU,WR,86,1216,14.1,93.5,60,8
7,Dwayne Bowe,KC,WR,72,1162,16.1,72.6,75 T,15
8,Larry Fitzgerald,ARI,WR,90,1137,12.6,71.1,41,6
9,Calvin Johnson,DET,WR,77,1120,14.5,74.7,87 T,12
10,Santana Moss,WAS,WR,93,1115,12,69.7,56,6
11,Steve Johnson,BUF,WR,82,1073,13.1,67.1,45,10
12,DeSean Jackson,PHI,WR,47,1056,22.5,75.4,91 T,6
13,Hakeem Nicks,NYG,WR,79,1052,13.3,80.9,46 T,11
14,Miles Austin,DAL,WR,69,1041,15.1,65.1,69 T,7
15,Marques Colston,NO,WR,84,1023,12.2,68.2,43,7
16,Brandon Marshall,MIA,WR,86,1014,11.8,72.4,46,3
18,Terrell Owens,CIN,WR,72,983,13.7,70.2,78 T,9
19,Jeremy Maclin,PHI,WR,70,964,13.8,60.2,83 T,10
19,Mike Williams,TB,WR,65,964,14.8,60.2,58 T,11
21,Johnny Knox,CHI,WR,51,960,18.8,60,67 T,5
22,Mario Manningham,NYG,WR,60,944,15.7,59,92 T,9
24,Braylon Edwards,NYJ,WR,53,904,17.1,56.5,74 T,7
25,Jabar Gaffney,DEN,WR,65,875,13.5,54.7,50,2
26,Anthony Armstrong,WAS,WR,44,871,19.8,58.1,76,3
27,Percy Harvin,MIN,WR,71,868,12.2,62,53 T,5
29,Wes Welker,NE,WR,86,848,9.9,56.5,35,7
30,Anquan Boldin,BAL,WR,64,837,13.1,52.3,61,7
31,Chad Ochocinco,CIN,WR,67,831,12.4,59.4,42,4
32,Davone Bess,MIA,WR,79,820,10.4,51.2,29,5
32,Mike Thomas,JAC,WR,66,820,12.4,51.2,50 T,4
34,Derrick Mason,BAL,WR,61,802,13.1,50.1,42,7
35,Pierre Garcon,IND,WR,67,784,11.7,56,57 T,6
37,Kenny Britt,TEN,WR,42,775,18.5,64.6,80 T,9
38,Lance Moore,NO,WR,66,763,11.6,47.7,80 T,8
40,Hines Ward,PIT,WR,59,755,12.8,47.2,43,5
41,Mike Williams,SEA,WR,65,751,11.6,53.6,68,2
42,Santonio Holmes,NYJ,WR,52,746,14.3,62.2,52,6
43,Michael Crabtree,SF,WR,55,741,13.5,46.3,60 T,6
46,Steve Breaston,ARI,WR,47,718,15.3,55.2,37,1
47,Malcom Floyd,SD,WR,37,717,19.4,65.2,55,6
48,Deion Branch,NE,WR,48,706,14.7,64.2,79 T,5
50,Josh Morgan,SF,WR,44,698,15.9,43.6,65,2
51,Danny Amendola,STL,WR,85,689,8.1,43.1,36,3
52,Nate Washington,TEN,WR,42,687,16.4,42.9,71 T,6
55,James Jones,GB,WR,50,679,13.6,42.4,66 T,5
57,Austin Collie,IND,WR,58,649,11.2,72.1,73 T,8
58,Robert Meachem,NO,WR,44,638,14.5,39.9,55,5
60,Eddie Royal,DEN,WR,59,627,10.6,39.2,41,3
61,Nate Burleson,DET,WR,55,625,11.4,44.6,58,6
62,Kevin Walter,HOU,WR,51,621,12.2,38.8,35,5
63,Brandon Gibson,STL,WR,53,620,11.7,44.3,41,2
64,Brian Hartline,MIA,WR,43,615,14.3,51.2,54,1
65,Louis Murphy,OAK,WR,41,609,14.9,43.5,70,2
67,Jordan Shipley,CIN,WR,52,600,11.5,40,64 T,3
70,Jordy Nelson,GB,WR,45,582,12.9,36.4,80 T,2
71,Lee Evans,BUF,WR,37,578,15.6,44.5,54,4
72,Jason Avant,PHI,WR,51,573,11.2,35.8,34,1
73,Donald Driver,GB,WR,51,565,11.1,37.7,61 T,4
75,Jacoby Jones,HOU,WR,51,562,11,37.5,47,3
75,Mike Sims-Walker,JAC,WR,43,562,13.1,40.1,39,7
77,Earl Bennett,CHI,WR,46,561,12.2,40.1,48,3
77,Dez Bryant,DAL,WR,45,561,12.5,46.8,46,6
81,Steve Smith,CAR,WR,46,554,12,39.6,39,2
85,Roy Williams,DAL,WR,37,530,14.3,35.3,63 T,5
87,Steve Smith,NYG,WR,48,529,11,58.8,45,3
91,Patrick Crayton,SD,WR,28,514,18.4,57.1,49,1
94,David Gettis,CAR,WR,37,508,13.7,33.9,88 T,3
96,Michael Jenkins,ATL,WR,41,505,12.3,45.9,43,2
97,Ben Obomanu,SEA,WR,30,494,16.5,32.9,87 T,4
99,Mohamed Massaquoi,CLE,WR,36,483,13.4,32.2,41 T,2
101,Devin Hester,CHI,WR,40,475,11.9,29.7,39,4
104,Jacoby Ford,OAK,WR,25,470,18.8,29.4,52,2
105,Brandon LaFell,CAR,WR,38,468,12.3,33.4,44,1
107,Devery Henderson,NO,WR,34,464,13.6,29,57,1
110,Jerricho Cotchery,NYJ,WR,41,433,10.6,30.9,49,2
111,Brandon Tate,NE,WR,24,432,18,27,65 T,3
114,Roscoe Parrish,BUF,WR,33,400,12.1,50,37,2
115,T.J. Houshmandzadeh,BAL,WR,30,398,13.3,24.9,56 T,3
116,Arrelious Benn,TB,WR,25,395,15.8,26.3,64,2
118,Deon Butler,SEA,WR,36,385,10.7,29.6,63 T,4
122,Emmanuel Sanders,PIT,WR,28,376,13.4,28.9,35,2
124,Legedu Naanee,SD,WR,23,371,16.1,37.1,59 T,1
126,Darrius Heyward-Bey,OAK,WR,26,366,14.1,24.4,69 T,1
129,Blair White,IND,WR,36,355,9.9,27.3,33,5
131,Brandon Stokley,SEA,WR,31,354,11.4,32.2,36,0
132,David Nelson,BUF,WR,31,353,11.4,23.5,37,3
134,Chansi Stuckey,CLE,WR,40,346,8.7,21.6,25,0
135,Andre Caldwell,CIN,WR,25,345,13.8,23,53,0
136,Laurent Robinson,STL,WR,34,344,10.1,24.6,32,2
147,Brian Robiskie,CLE,WR,29,310,10.7,22.1,46 T,3
150,Andre Roberts,ARI,WR,24,307,12.8,20.5,74 T,2
151,Danario Alexander,STL,WR,20,306,15.3,38.2,46,1
151,Mark Clayton,STL,WR,23,306,13.3,61.2,39,2
155,Harry Douglas,ATL,WR,22,294,13.4,18.4,46,1
156,Josh Cribbs,CLE,WR,23,292,12.7,19.5,65 T,1
157,Early Doucet,ARI,WR,26,291,11.2,29.1,36,1
158,Demaryius Thomas,DEN,WR,22,283,12.9,28.3,31,2
159,Sidney Rice,MIN,WR,17,280,16.5,46.7,46,2
160,Jerome Simpson,CIN,WR,20,277,13.9,55.4,59 T,3
161,Justin Gage,TEN,WR,20,266,13.3,24.2,30,1
163,Seyi Ajirotutu,SD,WR,13,262,20.2,26.2,55 T,2
165,Craig Davis,SD,WR,21,259,12.3,37,49,1
166,Antwaan Randle El,PIT,WR,22,253,11.5,15.8,34,0
167,Bernard Berrian,MIN,WR,28,252,9,18,30,0
169,Micheal Spurlock,TB,WR,17,250,14.7,15.6,43,2
170,Jason Hill,JAC,WR,11,248,22.5,41.3,48 T,1
170,Vincent Jackson,SD,WR,14,248,17.7,49.6,58 T,3
174,Greg Camarillo,MIN,WR,20,240,12,15,31,1
176,Sammie Stroughter,TB,WR,24,239,10,19.9,27,0
178,Golden Tate,SEA,WR,21,227,10.8,20.6,52,0
180,Derek Hagan,NYG,WR,24,223,9.3,31.9,17,1
183,Damian Williams,TEN,WR,16,219,13.7,13.7,39,0
188,Chris Chambers,KC,WR,22,213,9.7,16.4,26,1
188,Donald Jones,BUF,WR,18,213,11.8,14.2,40,1
190,Bryant Johnson,DET,WR,18,210,11.7,15,24,0
191,Dexter McCluster,KC,WR,21,209,10,19,31 T,1
196,Greg Lewis,MIN,WR,17,197,11.6,15.2,33,0
199,Joey Galloway,WAS,WR,12,173,14.4,17.3,62,0
199,Kelley Washington,SD,WR,13,173,13.3,21.6,36,1
202,Antonio Brown,PIT,WR,16,167,10.4,18.6,26,0
205,Brian Finneran,ATL,WR,19,166,8.7,10.4,21,3
206,Ted Ginn,SF,WR,12,163,13.6,12.5,37 T,1
208,Ruvell Martin,SEA,WR,7,158,22.6,31.6,61,1
209,Terrance Copper,KC,WR,18,157,8.7,9.8,20,0
213,Devin Aromashodu,CHI,WR,10,149,14.9,10.6,34,0
222,Naaman Roosevelt,BUF,WR,9,139,15.4,23.2,30,0
230,Marlon Moore,MIA,WR,6,128,21.3,14.2,57 T,1
239,Sam Hurd,DAL,WR,14,120,8.6,8,13,0
241,David Anderson,HOU,WR,11,117,10.6,9.8,35,0
241,Max Komar,ARI,WR,12,117,9.8,14.6,20,0
244,Riley Cooper,PHI,WR,7,116,16.6,8.9,37,1
247,Chad Hall,PHI,WR,11,115,10.5,14.4,48,1
248,Verran Tucker,KC,WR,6,114,19,10.4,38,1
249,Tiquan Underwood,JAC,WR,8,111,13.9,11.1,22,0
252,Roydell Williams,WAS,WR,8,109,13.6,6.8,34,0
254,Eric Decker,DEN,WR,6,106,17.7,7.6,38,1
255,Johnnie Lee Higgins,OAK,WR,10,103,10.3,7.9,26,0
257,David Clowney,CAR,WR,6,102,17,10.2,31,0
258,Stephen Williams,ARI,WR,9,101,11.2,9.2,17,0
260,Dominique Zeigler,SF,WR,9,98,10.9,8.9,20,0
264,Dezmon Briscoe,TB,WR,6,93,15.5,46.5,54,1
267,Julian Edelman,NE,WR,7,86,12.3,5.7,40,0
270,Rashied Davis,CHI,WR,9,84,9.3,5.2,21,1
271,Donte' Stallworth,BAL,WR,2,82,41,10.2,67,0
272,Maurice Stovall,TB,WR,7,81,11.6,6.8,38,1
273,Randy Moss,TEN,WR,6,80,13.3,10,26,0
276,Adrian Arrington,NO,WR,7,79,11.3,79,17,0
284,Brett Swain,GB,WR,6,72,12,4.5,31,0
289,Anthony Gonzalez,IND,WR,5,67,13.4,33.5,34,0
292,Ramses Barden,NYG,WR,5,64,12.8,10.7,26,0
293,Mardy Gilyard,STL,WR,6,63,10.5,5.7,21,0
295,Roberto Wallace,MIA,WR,6,62,10.3,5.2,19,0
298,Lavelle Hawkins,TEN,WR,5,61,12.2,10.2,24,0
298,Eric Weems,ATL,WR,6,61,10.2,3.8,18,0
305,Kassim Osgood,JAC,WR,6,60,10,3.8,24 T,1
317,Terrence Austin,WAS,WR,3,47,15.7,9.4,28,0
323,Brad Smith,NYJ,WR,4,44,11,2.8,23,0
331,Preston Parker,TB,WR,4,42,10.5,4.7,21,0
334,Taylor Price,NE,WR,3,41,13.7,41,18,0
336,Brandon James,IND,WR,6,40,6.7,13.3,17,0
336,Dwayne Jarrett,CAR,WR,2,40,20,13.3,21,0
336,Nick Miller,OAK,WR,3,40,13.3,4.4,32,0
336,Chaz Schilens,OAK,WR,5,40,8,8,11,1
347,Kevin Ogletree,DAL,WR,3,34,11.3,5.7,19,0
353,Derrick Williams,DET,WR,3,30,10,4.3,17,0
361,Patrick Turner,NYJ,WR,2,26,13,5.2,21,0
363,Richard Goodman,SD,WR,1,25,25,8.3,25,0
370,Michael Clayton,NYG,WR,2,19,9.5,3.2,14,0
372,Hank Baskett,MIN,WR,1,18,18,3,18,0
373,Matt Willis,DEN,WR,1,17,17,2.8,17,0
375,Quan Cosby,CIN,WR,2,16,8,1,11,0
394,Brandon Banks,WAS,WR,2,10,5,0.8,15,0
408,Paul Hubbard,BUF,WR,1,8,8,8,8,0
408,Kyle Williams,SF,WR,1,8,8,1.6,8,0
413,Sam Aiken,CLE,WR,1,7,7,2.3,7,0
417,Manuel Johnson,DAL,WR,1,6,6,3,6,0
422,Duke Calhoun,NYG,WR,1,4,4,0.4,4,0
425,Ernest Wilford,JAC,WR,1,3,3,1.5,3,0
429,Gary Banks,SD,WR,1,2,2,1,2,0
436,Arnaz Battle,PIT,WR,0,0,--,0,--,0
436,Brian Clark,DET,WR,0,0,--,0,--,0
436,Dorin Dickerson,HOU,WR,0,0,--,0,--,0
436,Armanti Edwards,CAR,WR,0,0,--,0,--,0
436,Jeremy Horne,KC,WR,0,0,--,0,--,0
436,Stefan Logan,DET,WR,0,0,--,0,--,0
436,Marc Mariani,TEN,WR,0,0,--,0,--,0
436,John Matthews,JAC,WR,0,0,--,0,--,0
436,Carlton Mitchell,CLE,WR,0,0,--,0,--,0
436,David Reed,BAL,WR,0,0,--,0,--,0
436,Matthew Slater,NE,WR,0,0,--,0,--,0
436,Demetrius Williams,CLE,WR,0,0,--,0,--,0
