Movie,Run Time (minutes),Budget ($M),USGross ($),Genre,Dramas
White Noise,101,30,56094360,Horror,0
Coach Carter,136,45,67264877,Drama,1
Elektra,100,65,24409722,Action,0
Racing Stripes,110,30,49772522,Comedy,0
Assault on Precinct 13,109,30,20040895,Action,0
Are We There Yet?,94,20,82674398,Comedy,0
Alone in the Dark,96,20,5178569,Horror,0
Indigo,105,25,51100486,Drama,1
Boogeyman,88,20,46752382,Horror,0
The Wedding Date,90,40,31726995,Comedy,0
Hitch,113,55,177784257,Comedy,0
Pooh's Heffalump Movie,68,20,18081626,Adventure,0
Because of Winn-Dixie,106,15,32647042,Comedy,0
Constantine,122,75,75976178,Action,0
Son of the Mask,86,100,17018422,Comedy,0
Cursed,105,35,19294901,Horror,0
Man of the House,100,50,19699706,Comedy,0
Be Cool,150,75,55849401,Comedy,0
The Jacket,103,28.5,6301131,Thriller,0
The Pacifier,97,56,113006880,Comedy,0
Hostage,108,75,34636443,Action,0
Robots,89,80,128200012,Adventure,0
The Upside of Anger à,117,12,18761993,Drama,1
Ice Princess,99,25,24381334,Comedy,0
The Ring Two,111,50,75941727,Horror,0
Miss Congeniality 2: Armed and Fabulous,115,60,48478006,Comedy,0
Guess Who,103,35,68915888,Comedy,0
Beauty Shop,105,25,36351350,Comedy,0
Sin City,126,40,74098862,Action,0
Fever Pitch,103,40,42071069,Comedy,0
Kung Fu Hustle à,99,20,17104669,Action,0
Sahara,123,130,68671925,Adventure,0
The Amityville Horror,89,18.5,64538396,Horror,0
The Interpreter,118,90,72708161,Thriller,0
King's Ransom,98,25,4008527,Comedy,0
A Lot Like Love,107,25,21835784,Comedy,0
The Hitchhiker's Guide to the Galaxy,103,45,51019112,Comedy,0
XXX: State of the Union,100,60,26873932,Action,0
Crash,107,6.5,54557348,Drama,1
House of Wax,113,35,32064800,Horror,0
Kingdom of Heaven,144,110,47398413,Adventure,0
Kicking and Screaming,90,45,52842724,Comedy,0
Mindhunters,106,27,4476235,Thriller,0
Monster-in-Law,95,45,82931301,Comedy,0
Star Wars Episode III: Revenge of the Sith,140,115,380270577,Adventure,0
The Longest Yard,113,82,158119460,Comedy,0
Madagascar,86,75,193202933,Adventure,0
The Sisterhood of the Traveling Pants,145,25,39053061,Drama,1
Cinderella Man,144,88,61649308,Drama,1
Lords of Dogtown,107,25,11273517,Action,0
Batman Begins,140,150,205343774,Action,0
The Perfect Man,101,10,16535005,Comedy,0
Herbie: Fully Loaded,95,50,66010682,Comedy,0
Bewitched,100,80,63313159,Comedy,0
Land of the Dead,97,15,20700082,Horror,0
War of the Worlds,116,132,234280354,Action,0
Rebound,103,45,16809014,Comedy,0
Dark Water,105,60,25473093,Thriller,0
Fantastic Four,123,87.5,154695569,Action,0
Charlie and the Chocolate Factory,115,150,206459076,Comedy,0
Wedding Crashers,113,40,209218368,Comedy,0
Bad News Bears,113,35,32868349,Comedy,0
Hustle & Flow,115,2.8,22202809,Drama,1
The Island,136,120,35818913,Action,0
Must Love Dogs,98,35,43894863,Comedy,0
Sky High,102,60,63939454,Adventure,0
Stealth,121,138,32116746,Action,0
Deuce Bigalow: European Gigolo,83,22,22400154,Comedy,0
Four Brothers,109,30,74494381,Drama,1
The Skeleton Key,104,40,47907715,Horror,0
The Great Raid,133,20,10166502,Action,0
The 40-Year-Old Virgin,111,26,109449237,Comedy,0
Valiant,76,35,19471912,Adventure,0
The Brothers Grimm,119,80,37899638,Adventure,0
The Cave,97,30,15007991,Horror,0
Undiscovered,97,27,74888996,Comedy,0
The Constant Gardener,129,25.5,33579798,Drama,1
Transporter 2,87,32,43095856,Action,0
The Exorcism of Emily Rose,114,18,75072454,Horror,0
The Man,83,20,8330720,Comedy,0
An Unfinished Life à,108,30,8535575,Drama,1
Corpse Bride à,77,30,53359111,Adventure,0
Cry Wolf,91,1,10047674,Thriller,0
Just Like Heaven,95,58,48318130,Comedy,0
Lord of War,121,42,24149632,Action,0
Flightplan,93,55,89706988,Action,0
A History of Violence à,96,32,31493782,Drama,1
Roll Bounce,106,10,17380866,Comedy,0
Capote à,114,7,28750530,Drama,1
Into the Blue,109,50,18782227,Adventure,0
Serenity,119,39,25514517,Action,0
Wallace & Gromit: The Curse of the Were-Rabbit,85,30,56068547,Adventure,0
Waiting...,93,1.125,16124543,Comedy,0
Domino,133,50,10169202,Action,0
Elizabethtown,133,54,26850426,Drama,1
The Fog,101,18,29511112,Horror,0
Doom,113,70,28212337,Horror,0
North Country,123,30,18324242,Drama,1
The Weather Man,101,20,12482775,Drama,1
Chicken Little,80,60,135386665,Adventure,0
Jarhead,115,72,62647540,Drama,1
"Good Night, and Good Luck à",93,7,31501218,Drama,1
Get Rich or Die Tryin',116,40,30981850,Drama,1
Pride and Prejudice à,129,28,38372662,Drama,1
Harry Potter and the Goblet of Fire,157,150,290013036,Drama,1
Walk the Line,81,28,119519402,Drama,1
Syriana à,126,50,50824620,Drama,1
"Yours, Mine and Ours",90,45,53359917,Comedy,0
The Libertine à,130,22,4835065,Drama,1
®on Flux,95,55,25857987,Action,0
Transamerica à,104,1,9015303,Drama,1
Brokeback Mountain à,134,13.9,83043761,Drama,1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",140,180,291710957,Adventure,0
Memoirs of a Geisha à,145,85,57010853,Drama,1
King Kong,187,207,52614445,Drama,1
The Family Stone,103,18,60062868,Comedy,0
Hoodwinked à,80,17.5,51224985,Comedy,0
Munich à,164,75,47379090,Drama,1
The New World à,135,30,12712093,Adventure,0
The Matador à,97,1.1,16186348,Thriller,0
Note:  The à denotes a limited release that was then released on a large scale,,¥,,,0
